temperature,humidity,time
24.9,18.7,2020-02-21 20:31:50.117519
24.9,18.6,2020-02-21 20:31:51.781118
24.9,18.6,2020-02-21 20:31:53.361367
24.9,18.6,2020-02-21 20:31:54.927620
24.9,18.6,2020-02-21 20:31:56.502505
24.9,18.6,2020-02-21 20:31:58.097908
24.9,18.7,2020-02-21 20:32:00.147793
24.9,18.7,2020-02-21 20:32:01.737832
24.9,18.6,2020-02-21 20:32:03.315055
24.9,18.6,2020-02-21 20:32:04.898532
24.9,18.6,2020-02-21 20:32:06.478004
24.8,18.6,2020-02-21 20:32:08.050330
24.8,18.6,2020-02-21 20:32:09.614570
24.8,18.6,2020-02-21 20:32:11.203844
24.8,18.7,2020-02-21 20:32:17.999246
24.8,18.7,2020-02-21 20:32:19.593386
24.8,18.7,2020-02-21 20:32:21.195937
24.8,18.6,2020-02-21 20:32:22.759144
24.3,18.7,2020-02-21 20:36:41.385729
24.4,18.7,2020-02-21 20:36:42.961747
24.6,22.1,2020-02-21 20:36:44.527381
24.5,25.8,2020-02-21 20:36:46.117394
24.5,25.9,2020-02-21 20:36:47.678139
24.5,25.1,2020-02-21 20:36:49.276538
24.5,23.7,2020-02-21 20:36:51.131267
24.5,22.4,2020-02-21 20:36:52.782350
24.6,26.0,2020-02-21 20:36:54.351739
24.9,29.1,2020-02-21 20:36:55.931521
24.8,33.1,2020-02-21 20:36:57.502369
24.7,31.3,2020-02-21 20:37:00.421324
24.7,28.3,2020-02-21 20:37:01.983953
24.9,26.0,2020-02-21 20:37:03.542478
24.9,27.5,2020-02-21 20:37:05.115889
24.8,29.1,2020-02-21 20:37:06.710234
24.3,19.1,2020-02-21 20:40:13.971176
24.3,19.1,2020-02-21 20:40:15.572594
24.5,19.5,2020-02-21 20:40:17.132627
24.5,24.8,2020-02-21 20:40:18.781236
24.5,28.3,2020-02-21 20:40:20.347724
24.5,28.9,2020-02-21 20:40:21.910499
24.4,29.5,2020-02-21 20:40:23.488911
24.4,28.7,2020-02-21 20:40:25.080165
24.4,27.0,2020-02-21 20:40:26.647555
24.5,25.3,2020-02-21 20:40:28.218590
24.4,24.0,2020-02-21 20:40:29.789586
24.4,23.2,2020-02-21 20:40:31.343141
24.5,23.1,2020-02-21 20:40:32.908455
24.4,23.2,2020-02-21 20:40:34.470557
24.4,23.6,2020-02-21 20:40:36.037252
24.4,23.7,2020-02-21 20:40:37.590805
24.5,23.5,2020-02-21 20:40:39.156601
24.4,23.0,2020-02-21 20:40:40.721330
24.4,22.3,2020-02-21 20:40:42.277311
24.4,21.8,2020-02-21 20:40:43.855496
24.5,21.3,2020-02-21 20:40:45.471363
24.4,20.9,2020-02-21 20:40:47.094091
24.4,20.7,2020-02-21 20:40:48.647362
24.4,20.4,2020-02-21 20:40:50.203821
24.4,20.2,2020-02-21 20:40:51.779545
24.4,20.1,2020-02-21 20:40:53.340506
24.4,19.9,2020-02-21 20:40:54.910303
24.4,22.8,2020-02-21 20:40:56.489628
24.5,26.2,2020-02-21 20:40:58.060601
24.5,26.3,2020-02-21 20:41:00.564694
24.5,24.7,2020-02-21 20:41:02.124364
24.5,23.5,2020-02-21 20:41:03.703709
24.5,22.6,2020-02-21 20:41:05.270234
24.5,22.0,2020-02-21 20:41:06.835853
24.5,21.6,2020-02-21 20:41:08.400459
24.5,21.3,2020-02-21 20:41:09.963173
24.5,20.9,2020-02-21 20:41:11.550674
24.5,20.5,2020-02-21 20:41:13.110661
24.4,19.2,2020-02-21 20:54:16.041031
24.4,19.2,2020-02-21 20:54:17.821762
24.4,19.2,2020-02-21 20:54:19.390763
24.4,19.2,2020-02-21 20:54:21.000131
24.4,19.1,2020-02-21 20:54:22.594493
24.4,19.2,2020-02-21 20:54:24.171728
24.3,19.2,2020-02-21 20:54:25.747135
24.3,19.2,2020-02-21 20:54:27.322960
24.3,19.2,2020-02-21 20:54:28.886746
24.3,19.9,2020-02-21 20:54:30.481833
24.3,20.3,2020-02-21 20:54:32.053607
24.3,20.4,2020-02-21 20:54:33.605740
24.3,20.1,2020-02-21 20:54:35.167962
24.3,19.9,2020-02-21 20:54:36.750112
24.3,19.7,2020-02-21 20:54:38.357032
24.3,19.7,2020-02-21 20:54:39.939666
24.2,22.2,2020-02-21 20:54:41.502296
24.2,22.9,2020-02-21 20:54:43.101530
24.2,23.2,2020-02-21 20:54:44.702082
24.2,22.8,2020-02-21 20:54:46.266829
24.2,22.9,2020-02-21 20:54:47.837780
24.6,24.6,2020-02-21 20:54:49.409535
24.4,26.5,2020-02-21 20:54:50.966728
24.5,28.5,2020-02-21 20:54:52.534288
24.4,27.9,2020-02-21 20:54:54.119941
24.5,25.9,2020-02-21 20:54:55.679388
24.4,24.5,2020-02-21 20:54:57.248660
24.4,22.9,2020-02-21 20:54:59.015318
24.4,21.7,2020-02-21 20:55:00.796426
24.4,21.2,2020-02-21 20:55:02.370049
24.4,20.9,2020-02-21 20:55:03.941041
24.4,20.6,2020-02-21 20:55:05.506573
24.4,20.2,2020-02-21 20:55:07.090212
24.4,20.0,2020-02-21 20:55:08.676702
24.4,19.8,2020-02-21 20:55:10.233616
24.4,20.1,2020-02-21 20:55:16.805615
24.3,20.1,2020-02-21 20:55:18.372615
24.4,20.0,2020-02-21 20:55:19.944425
24.4,19.9,2020-02-21 20:55:21.520642
